正文,点赞数,评论数,转发数,话题,日期,完整日期
"尊敬的网友们
        请问为什么有那么多人
        看户晨风先生的直播",590,128,7,,2025-01-26,2025-01-26 12:56:45
"我在山姆超市的食物中吃出一个毛发山姆真的赔了我1000 
户晨风2023的微博视频",1149,112,40,,2025-01-25,2025-01-25 10:42:56
"你眼中的户晨风先生
        是个什么样的人",892,253,6,,2025-01-24,2025-01-24 19:18:58
"2024年我赚了46万元户晨风收入公开视频2024年全年 
户晨风2023的微博视频",276,57,9,,2025-01-23,2025-01-23 14:40:41
"向全球车企发出邀请函
        户先生愿意以身试局
        长期试驾车企旗下的汽车
        发布用车报告
        但是
        户先生会坚持独立乐观第三方
        长期试驾说好话
        有没有真正优质的车企
        敢送试驾车的 
        送车地点成都送试汽车应该包含高昂的第三者责任险和车损险驾乘险",507,88,4,,2025-01-23,2025-01-23 09:58:22
"2025年
    户晨风先生准备大干一场
    年后做网店卖麦片
    视频拍摄也不会停止
    找世界级代工厂
    做自有品牌
    稳步推进
    前路漫漫
    虽然大概率失败
    但是户先生还是要做
    为了他心中的理想",375,106,6,,2025-01-22,2025-01-22 17:22:20
"网友们
        昨天去山姆会员店
        消费了1800元
        甚至还续费了一个卓越会员卡
        开个卡600多元
        通透",679,138,5,,2025-01-21,2025-01-21 15:33:34
"我作为成都市著名爱狗人士
        潘宏那死一条狗
        竟然能成为大热点
        可见
        几乎没有任何优质内容了
        狗再重要也就是一条狗
        洗澡的时候死了
        根本不值得社会公众这么多的关注
        我们更应该关心自己的生活
        真正跟自己切身利益相关的事
        你说一条狗
        不值得
  我是著名爱狗人士没人比我更爱狗就事论事不攻击互相尊重友好交流我每年花在我的狗身上10000元以上",2559,676,36,,2025-01-21,2025-01-21 10:17:16
"昨天晚上140睡的觉
        今天早上540起的床
        只睡了4小时
        户晨风先生赶早上755的飞机
        目前已经到达成都
        这么努力奋斗
        到底是为了什么 
成都",446,77,5,,2025-01-20,2025-01-20 11:28:43
浮光掠影户晨风先生写真集,873,95,15,,2025-01-20,2025-01-20 07:11:11
"最近大家都在讨论医保集采药的话题
        有的认可国产仿制药好
        想用国产的医疗器械
        有的不认可
        想用进口原研药
        用进口医疗器械
        其实我有一计可迎刃而解
        直接推出两种医保
第一种
        全部都是集采的原研进口药
        进口医疗设备
        但是每年的医保价格
        相比较现在翻倍或者3倍4倍
        价格必须能够覆盖医保成本
        且盈余
 第二种
        全部都是集采的国产原研药
        国产医疗器械
        价格和现在一样甚至更便宜
        普惠低收入人群
        用第一种医保的盈余补贴第二种
        总结这样大家都开心了
                    都得到了自己想得到的
不攻击互相尊重友好交流仅仅是我不成熟的想法仅供讨论",740,155,14,,2025-01-19,2025-01-19 19:39:31
"喜极而泣
        户晨风先生的纳税额
        提高到了24 
        提现5000元
        交了1200元的税 
        能给这个社会做更多的贡献了
        夫复何求
       图2户晨风先生在南宁拍摄纪实",547,69,8,,2025-01-19,2025-01-19 09:54:46
"高铁春运如何提高运力 
        在不增加车次且保证安全的情况下
        如何让更多的人回到家
        和家人相聚 
        我有一计
        1一列高铁拆掉75的座位
             大部分人站着回家
             拆掉的座椅的重量
             可以多搭载人
             老弱病残凭借实名购票
             买平价的座位票
             其他人贵5倍
        2限制乘客行李重量和体积
              比如一人20 kg体积5050cm
              因为行李超重超大就会挤占
              高铁拉人的重量
              春运时
              高铁的载重就是稀缺资源
              如果确实要带更多的东西
              超出1kg20元收费
        3如果确实需要坐着
              请按平时票价的5倍价购座位票
      总结 在买不到票和站着回家
                   这两个选项中间
                  你觉得哪个更好 
  不攻击互相尊重友好交流我的观点不一定对",784,185,14,,2025-01-18,2025-01-18 13:05:43
"作为一个普通人
       你是依附于社会
       还是社会依附于你 
       答案不言而喻
       作为年轻人
       过完年赶紧去大城市吧
       你老家那个小县城
       本身就不剩多少年轻人了
       再过几十年
       都有可能变成无人区
       而大城市人口会越来越多的
       无论你喜欢大城市与否
       最终都会被动或者主动的
       来到大城市
       在这里生老病死
       望周知",518,114,8,,2025-01-18,2025-01-18 11:18:41
"日本见闻
       日本的新干线列车运营了这么多年
       依旧是这么干净整洁图1
       说一尘不染那是夸张了
       但是绝对比我见到过的
       所有的列车都干净
       包括座椅底下的缝里面图2
       站台都有防坠落门图34
       非常安全 
       更重要的是设计既好看
       也非常人性化
       如图5每一排的旅客和前排不共享窗户
       从而避免了
       前后排因为开关窗户引发矛盾的问题
       图6列车的重要信息
       都印在座椅后面的小桌板上
       厕所位置所处车厢
       AED位置紧急停止位置
       乘客甚至还可以扫码
       看不同语言版本
       这是真正的国际化",1123,207,13,,2025-01-17,2025-01-17 12:38:58
"尊敬的网友们
        昨晚直播3小时40分钟
        共收到9200元的礼物
        平台拿了50之后
        还剩4600元
        缴纳了20的个人所得税
        即920元后
        实际到手3680元 
        真是感恩各位总和各位网友 
        再次感谢",577,99,5,,2025-01-17,2025-01-17 10:04:35
"刚刚从一个高端商场往外走
        正要拉门
        遇到一个年轻女士
        从外往里进
        我们俩同时到
        我顺手把门拉开
        请她先进
        动作很明显
        她直接进来了
        连一句谢谢都没有
        连一个微笑都没有
        竟然直接无视走了
        颇感心寒
 
成都仁恒置地广场",972,152,13,,2025-01-16,2025-01-16 18:54:42
"倒血霉了 
        早上730起床
        辛辛苦苦赶到机场
        刚到机场刚下地铁
        跟我说
        飞机延误10小时
        飞机故障 
        只能原地坐地铁回家 
        一早上坐了将近90分钟地铁
        望周知",362,80,7,,2025-01-16,2025-01-16 10:31:31
"披星戴月对于户晨风先生来说是常态了
        就以今天为例
        昨晚21点开始直播
        直播了3小时40分钟
        到0040下播  
        收拾第二天早上出差的行李
        凌晨130点睡觉已提前刷牙洗脸
        早上730起床
        睡了6小时
        起床之后遛狗到810
        拿包出差
        825到麦当劳吃早饭
        950抵达成都天府机场
        1030开始在机场
        准备视频文案收入公开视频
        
        户先生真是劳模
        望周知",336,59,2,,2025-01-16,2025-01-16 09:33:41
"户晨风先生乐于分享自己赚的钱
        户先生收到的礼物
        50平台拿
        剩下的20是税收
        但是户先生觉得还不够
        还应该把财富分享出去
        户先生不但上街送钱
        更是给自己的员工
        户先生更愿意称之为伙伴
        给出远高于市场的工资
        就在刚刚
        户先生给他的剪辑师
        转了1000过年红包
        其实
        户先生给剪辑师的
        单条剪辑费用
        已经是远高于市场水平了
        而且从不欠款
        立刻结清
        但是
        本着独乐不如众乐的人生态度
        户先生毅然决然的转了1000过去
        真是洒脱
        当然了
        归根结底还是要感谢各位总
        各位网友
        小户和剪辑摄影的衣食父母
        再次感谢",625,101,7,,2025-01-15,2025-01-15 10:39:39
"亲爱的网友们
        昨晚直播3小时40分钟
        共收到15970元的礼物
        平台拿了50之后
        还剩7950元
        缴纳了20的个人所得税
        即1590元后
        实际到手6360元 
        真是感恩各位总和各位网友 
        再次感谢",631,107,3,,2025-01-14,2025-01-14 09:58:04
"美国加州大火
        没想到简中互联网
        这么多人对洛杉矶大火感兴趣
        首先
        任何对自然灾害幸灾乐祸的人
        都对不起受过的教育
        火灾原因无非就是
        地理因素地中海气候
        叠加干旱少雨
        有网友说加州现在是冬天啊
        对20的冬天
        加州山火这次灭完还会有
        因为地理特征注定的
        很多人无法理解山火
        靠水扑灭那纯粹做梦图2
        只能靠隔离带阻燃剂
        把已经着火的烧光
        我不喜欢关注国外的事
        多关心关心自己的生活
        我觉得才更务实
        你家楼道里有灭火器么 
        灭火器压力值够么 
        你家楼道里有易燃物品么 
        图22018年加州山火",2168,551,48,,2025-01-13,2025-01-13 10:10:11
"户晨风先生今天晚上的晚饭
        一根山姆的水果萝卜
        一点山姆的葡萄
        足矣
        户先生一直比较崇尚健康饮食
        不喜欢浓油赤酱
        泼油浇给之类的
        望周知",553,84,12,,2025-01-12,2025-01-12 17:59:51
